10yardfight "10-Yard Fight (USA)"
superspivbal "Super Spike V'Ball (USA)"
supersprint "Super Sprint (USA)"
superspyhunter "Super Spy Hunter (USA)"
superstarforce "Super Star Force (Japan)"
supertiltbro "Super Tilt Bro. (HB, v2 alpha1)"
supertiltbrorc3 "Super Tilt Bro. (HB, v2 RC3)"
superturrican "Super Turrican (Euro)"
superuwol "Super UWOL (HB)"
superxev "Super Xevious - Gump no Nazo (Japan)"
swampthing "Swamp Thing (USA)"
swb "Super Wario Bros. (Hack, v2.0)"
sweethomee "Sweet Home (Hack, English)"
sweethomej "Sweet Home (Japan)"
sweethomer "Sweet Home (Hack, Russian)"
swordandser "Swords and Serpents (USA)"
swordmaster "Sword Master (USA)"
swordmasterc "Sword Master (Hack, Spanish)"
swordmasterh "Sword Master (USA) (Hack, Sample Fix)"
taboo "Taboo - The Sixth Sense (USA)"
tactus "Tactus (HB, Prototype)"
tagindragon "Tagin' Dragon (Unl)"
tagteawre "Tag Team Wrestling (USA)"
taitochasehq "Taito Chase H.Q. (Japan)"
taitochasehqte "Taito Chase H.Q. (Hack, English)"
taitochasehqtepf "Taito Chase H.Q. (Hack, English + Palette Fix)"
taitograpri "Taito Grand Prix - Eikou e no License (Hack, English)"
taitograprij "Taito Grand Prix - Eikou e no License (Japan)"
taiyonoyuufir "Taiyou no Yuusha Firebird (Hack, English)"
taiyonoyuufirj "Taiyou no Yuusha Firebird (Japan)"
takahashi "Takahashi Meijin no Bouken-jima (Japan)"
takahashi2 "Takahashi Meijin no Bouken-jima II (Japan)"
takahashi3 "Takahashi Meijin no Bouken-jima III (Japan)"
takahashi4 "Takahashi Meijin no Bouken-jima IV (Japan)"
takahmeinobugho "Takahashi Meijin no Bugutte Honey (Japan)"
takameivic "Takahashi Meijin no Bouken-jima IV (Hack, Chinese)"
takesnosenfuu "Takeshi no Sengoku Fuuunji (Japan)"
takesscha "Takeshi's Challenge (Hack, English)"
takesschaj "Takeshi no Chousenjou (Japan)"
talespin "TaleSpin (USA)"
tankh1990 "Tank H 1990 (YS Hack)"
tankh1990bm "Tank H 1990 (bedmoon Hack)"
tapeworm "Tapeworm Disco Puzzle (HB, v05)"
tapewormd "Tapeworm Disco Puzzle (HB, Demo)"
targetrenegade "Target Renegade (USA)"
targetrenegadec "Target Renegade (Hack, Spanish)"
tasac "Tasac (Taiwan)"
tashimasnoprigaip "Tashiro Masashi no Princess ga Ippai (Hack, English)"
tashimasnoprigaipj "Tashiro Masashi no Princess ga Ippai (Japan)"
tashimasnoprigaips "Tashiro Masashi no Princess ga Ippai (Hack, Spanish)"
tashingen "Takeda Shingen (Hack, English)"
tashingenj "Takeda Shingen (Japan)"
tatakainobanka "Tatakai no Banka (Japan, Rev A)"
tatakchorobseitr "Tatakae! Chou Robot Seimeitai Transformers - Convoy no Nazo (Japan)"
tatakrahman "Tatakae!! Rahmen Man - Sakuretsu Choujin 102 Gei (Japan)"
tc2 "T&C 2 - Thrilla's Surfari (USA)"
tcsurfdesign "T&C Surf Design (USA)"
tctwh "They Came To Wreak Hell (HB, v0.5)"
td1990 "Tower Defense 1990 (HB)"
tdilemma "Temple Dilemma (HB)"
tecmobaseball "Tecmo Baseball (USA)"
tecmobowl "Tecmo Bowl (USA)"
tecmocup "Tecmo Cup - Soccer Game (USA)"
tecmonbabas "Tecmo NBA Basketball (USA)"
tecmosuperbowl "Tecmo Super Bowl (USA)"
tecmoworcupsoc "Tecmo World Cup Soccer (Japan)"
tecmoworwre "Tecmo World Wrestling (USA)"
tekken2 "Tekken 2 (Taiwan) (Unl)"
tekken3 "Tekken 3 (Taiwan) (Unl)"
tenchiwokurau "Tenchi wo Kurau (Japan)"
tenchwokurii "Tenchi wo Kurau II: Shokatsu Koumei Den (Hack, English v1.12)"
tenchwokuriij "Tenchi wo Kurau II: Shokatsu Koumei Den (Japan)"
tenebra "Tenebra (HB)"
tenebra2 "Tenebra 2 (HB)"
tenkabus "Tenkaichi Bushi: Keru Naguuru (Japan)"
tenkanogoi "Tenka no Goikenban - Mito Koumon (Japan)"
tennis "Tennis (USA)"
tenseconds "Tense Conds (HB)"
teraonodosooz "Terao no Dosukoi Oozumou (Japan)"
termi2 "Terminator 2: Judgment Day (USA)"
termi2c "Terminator 2: Judgment Day (Hack, Spanish v2.2)"
terminatorjts "Terminator, The (Hack, v4.0)"
terminatorthe "Terminator, The (USA)"
terracresta "Terra Cresta (USA)"
teslavsedison "Tesla vs Edison (HB)"
tetra "Tetrastar - The Fighter (Japan)"
tetri2bom "Tetris 2 + Bombliss (Japan)"
tetris "Tetris (USA)"
tetris2 "Tetris 2 (USA)"
tetrisj "Tetris (BPS) (Japan)"
tetrisjcc "Tetris (BPS) - Conventional-Controls Edition (Hack)"
tetrisu "Tetris (Tengen) (USA)"
tetsuwanatom "Tetsuwan Atom (Japan)"
thexder "Thexder (Japan)"
thexderc "Thexder (Hack, Spanish)"
thiefcob "Thief and the Cobbler (GlobalHack, v1.5)"
threestooges "Three Stooges (USA)"
thunderbirds "Thunderbirds (USA)"
thunderbolt2 "Thunderbolt 2 (Taiwan) (Unl)"
thundercade "Thundercade (USA)"
thunderwarrior "Thunder Warrior (Asia) (Unl)"
thundlig "Thunder & Lightning (USA)"
tigerheli "Tiger-Heli (USA)"
timediveonman "Time Diver Eon Man (USA)"
timelord "Time Lord (USA)"
timezone "Time Zone (Hack, English v1.3)"
timezonej "Time Zone (Japan)"
timezones "Time Zone (Hack, Spanish)"
tinasadvisl "Tina's Adventure Island (Hack)"
tinasadvislii "Tina's Adventure Island II (Hack)"
tinasadvisliii "Tina's Advanture Island III (Hack)"
tinytooadv "Tiny Toon Adventures (USA)"
tinytooadv2molaheyo "Tiny Toon Adventures 2 - Montana Land he Youkoso (Japan)"
tinytooadv2trinwa "Tiny Toon Adventures 2 - Trouble in Wackyland (USA)"
tinytooadv6 "Tiny Toon Adventures 6 (Taiwan) (Unl)"
tinytooadv6c "Tiny Toon Adventures 6 (Hack, Spanish)"
tinytooadvc "Tiny Toon Adventures (Hack, Spanish)"
tinytooadvsc "Tiny Toon Adventures (Hack, Chinese)"
titan "Titan (Japan)"
titanic "Titanic (Hack, English v2.1)"
titanicc "Titanic (China) (Unl)"
titanwarriors "Titan Warriors (USA, Prototype)"
tmbtreasure "Tombs & Treasure (USA)"
tmht "Teenage Mutant Hero Turtles (Euro)"
tmhtiiarcgam "Teenage Mutant Hero Turtles II - The Arcade Game (Euro)"
tmnt "Teenage Mutant Ninja Turtles (USA)"
tmntc "Teenage Mutant Ninja Turtles (Hack, Chinese v1.1)"
tmntcast "Teenage Mutant Ninja Turtles (Hack, Spanish v2.0)"
tmntiiarcgam "Teenage Mutant Ninja Turtles II - The Arcade Game (USA)"
tmntiiarcgamc "Teenage Mutant Ninja Turtles II - The Arcade Game (Hack, Spanish v2.0)"
tmntiiarcgamj "Teenage Mutant Ninja Turtles II - The Arcade Game (Japan)"
tmntiiarcgamtc "Teenage Mutant Ninja Turtles II - The Arcade Game (Hack, Chinese)"
tmntiii "Teenage Mutant Ninja Turtles III - The Manhattan Project (USA)"
tmntiiic "Teenage Mutant Ninja Turtles III - The Manhattan Project (Hack, Spanish v2.3)"
tmntiimanpro "Teenage Mutant Ninja Turtles II - The Manhattan Project (Japan)"
tmntte "Teenage Mutant Ninja Turtles - Texas Edition (Hack)"
tmnttoufig "Teenage Mutant Ninja Turtles Tournament Fighters (USA)"
tmnttoufigc "Teenage Mutant Ninja Turtles - Tournament Fighters (Hack, Spanish)"
tmnttoufigsc "Teenage Mutant Ninja Turtles - Tournament Fighters (Hack, Chinese)"
toki "Toki (USA)"
tokkyshisol "Tokkyuu Shirei Solbrain (Hack, English)"
tokkyshisolc "Tokkyuu Shirei Solbrain (Hack, Chinese)"
tokkyshisolj "Tokkyuu Shirei Solbrain (Japan)"
tokorsannomammosemo "Tokoro-san no Mamoru mo Semeru mo (Japan)"
tola "Tola (HB)"
tombice "Tomb of Ice (HB)"
tomjerultgamcatandm "Tom & Jerry - The Ultimate Game of Cat and Mouse! (USA)"
tomjerultgamcatandmc "Tom & Jerry - The Ultimate Game of Cat and Mouse! (Hack, Spanish)"
toobin "Toobin' (USA)"
topgun "Top Gun (USA, Rev A)"
topgunc "Top Gun (Hack, Spanish)"
topgunsecmis "Top Gun - The Second Mission (USA)"
topgunsecmisc "Top Gun - The Second Mission (Hack, Spanish)"
toprider "Top Rider (Japan)"
topstriker "Top Striker (Japan)"
tortoises "Tortoises (HB)"
totallyrad "Totally Rad (USA)"
totalrecall "Total Recall (USA)"
totalrecallc "Total Recall (Hack, Spanish)"
totheearth "To The Earth (USA)"
totoro "Totoro: Mei is Missing (GlobalHack)"
totsumac "Totsuzen! Machoman (Japan)"
touhourououmu "Touhou Rououmu - Perfect Cherry Blossom (HB, v1.00 beta 2)"
toukonclub "Toukon Club (Japan)"
towerdru "Tower of Druaga, The (Japan)"
towerofturmoil "Tower of Turmoil (HB, v1.03)"
toxiccrusaders "Toxic Crusaders (USA)"
trackfield "Track & Field (USA)"
trackfieldii "Track & Field II (USA, Rev A)"
transformers "Transformers - The Mystery of Optimus Prime (Hack, English)"
treasuremaster "Treasure Master (USA)"
triforceg "Legend of Zelda - Triforce of the Gods (Hack, English)"
triforcegc "Legend of Zelda - San Shen Zhi Li (China)"
trog "Trog (USA)"
trojan "Trojan (USA)"
trophy "Trophy (HB)"
trouble2a03 "Trouble in 2a03 (HB)"
tryptic "Tryptic (HB, v1.1)"
tsb20v3 "Tecmo Super Bowl 2020 (Hack, v3.0)"
tsb21fe "Tecmo Super Bowl 2021 Final Edition (Hack)"
tsb22ncaa "Tecmo Super Bowl 2022 NCAA D.1 Edition (Hack)"
tsbtapmeter "Tecmo Super Bowl Tapmeter (Hack)"
tsupparioozumou "Tsuppari Oozumou (Japan)"
tsurikicsan "Tsuri Kichi Sanpei - Blue Marlin Hen (Hack, English v0.94b)"
tsurikicsanj "Tsuri Kichi Sanpei - Blue Marlin Hen (Japan)"
twinb3 "TwinBee 3: The Terror Trunk (Hack, English v1.02)"
twinb3j "TwinBee 3: Poko Poko Daimaou (Japan)"
twinbee "TwinBee (Japan)"
twincobra "Twin Cobra (USA)"
twindracomedi "Twin Dragons Compo Edition (HB)"
twindragons "Twin Dragons (HB)"
twineagle "Twin Eagle (USA)"
uchusen "Uchusen - Ultimate PLOID Battle (HB)"
uchusen2 "Uchusen 2 - Blood Invasion Battle (HB)"
uchuucoscar "Uchuusen Cosmo Carrier (Japan)"
uchuukeisdf "Uchuu Keibitai SDF (Japan)"
ufouria "Ufouria - The Saga (Euro)"
ultimaexodus "Ultima - Exodus (USA)"
ultimexorem "Ultima - Exodus Remastered (Hack)"
ultimfrocha "Ultimate Frogger Champion (HB)"
ultimleasoc "Ultimate League Soccer (USA)"
ultimleasoci "Ultimate League Soccer (Italy)"
ultimmorkom3 "Ultimate Mortal Kombat 3 (Unl)"
ultimmorkom3h "Ultimate Mortal Kombat 3 (Hack)"
ultimqueava "Ultima - Quest of the Avatar (USA)"
ultimstu "Ultimate Stuntman, The (USA)"
ultimwardes "Ultima - Warriors of Destiny (USA)"
ultraclubgkb "Ultraman Club - Great Kaiju Battle (Hack, English)"
ultraclubgkbj "Ultraman Club - Kaijuu Daikessen!! (Japan)"
uncanxmen "Uncanny X-Men, The (USA)"
uncanxmenc "Uncanny X-Men, The (Hack, Spanish)"
unchartedwaters "Uncharted Waters (USA)"
underadv "Underground Adventure (HB)"
uninvited "Uninvited (USA)"
uninvitedj "Akuma no Shoutaijou (Japan)"
uninvitedu "Uninvited Uncensored (Hack, v1.0f)"
univesol "Universe Soldiers, The (China)"
upsadown "Upsad Down (HB, v0.6)"
urbanchampion "Urban Champion (World)"
urbanstrike "Urban Strike (Unl)"
uruseyat "Urusei Yatsura: Lum no Wedding Bell (Japan)"
uruseyatoh "Urusei Yatsura: Lum's Wedding Bell - OVERHAUL (Hack)"
uschavba "U.S. Championship V'Ball (Japan)"
ushiotora "Ushio to Tora - Shinen no Taiyou (Hack, English)"
ushiotoraj "Ushio to Tora - Shinen no Taiyou (Japan)"
utsurundesu "Utsurun Desu (Japan)"
uxo "UXO - Unexploded Ordnance (HB)"
valis "Valis - The Fantastic Soldier (Hack, English v1.1)"
valisj "Mugen Senshi Valis (Japan)"
valispp "Valis++ (Hack, English v1.1)"
valkynobou "Valkyrie's Adventure: Legend of the Time Key (Hack, English)"
valkynobouc "Valkyrie's Adventure: La Llave del Tiempo (Hack, Spanish)"
valkynobouj "Valkyrie no Bouken: Toki no Kagi Densetsu (Japan)"
vanguard "Vanguard (Unl)"
veggieinvaders "Veggie Invaders (HB)"
venicbeavol "Venice Beach Volleyball (USA)"
vice "Vice - Project Doom (USA)"
vindicators "Vindicators (USA, Prototype)"
virus "Virus (USA, Prototype)"
volguardii "Volguard II (Japan)"
volleyball "Volleyball (USA)"
vssmbhomedi "VS. Super Mario Bros. Home Edition (Hack)"
wackamole "Wack-A-Mole (HB)"
wacko "Wacko (HB)"
wackyraces "Wacky Races (USA)"
waddles "Waddles the Duck (HB)"
wagyanland "Wagyan Land (Japan)"
wagyanland2 "Wagyan Land 2 (Japan)"
wagyanland3 "Wagyan Land 3 (Japan)"
waiwaiwor2 "Wai Wai World 2 - SOS!! Paseri Jou (Hack, English)"
waiwaiwor2c "Wai Wai World 2 - SOS!! Paseri Jou (Hack, Chinese v1.1)"
waiwaiwor2j "Wai Wai World 2 - SOS!! Paseri Jou (Japan)"
waiwaiworld "Wai Wai World (Hack, English v2.2)"
waiwaiworldc "Wai Wai World (Hack, Chinese)"
waiwaiworldj "Wai Wai World (Japan)"
waldos4ever "Waldos Forever (HB)"
wall "Wall (HB, Tech-Demo)"
wallstreetkid "Wall Street Kid (USA)"
wallybeanogan "Wally Bear & the No Gang (Unl)"
wampus "Wampus (HB)"
wampusdx "Wampus DX (HB)"
wampusdx2 "Wampus DX (HB, v2)"
wanpakuduckc "Wanpaku Duck Yume Bouken (Hack, Chinese v1.1)"
warinthegulf "War in the Gulf (Unl)"
warioswoods "Wario's Woods (USA)"
warpman "Warpman (Japan)"
warrargos "Warrior of Argos, The (Hack, English)"
wartworm "Wart Worm Wingding (HB)"
waynesworld "Wayne's World (USA)"
wcwworchawre "WCW World Championship Wrestling (USA)"
weedstiff2 "Weed N' Stiff 2 Bobsons Revenge (HB)"
werew "Werewolf - The Last Warrior (USA)"
whatremains "What Remains (HB, v1.0.2)"
whereintimiscasa "Where in Time is Carmen Sandiego (USA)"
whereswaldo "Where's Waldo (USA)"
whofrarograb "Who Framed Roger Rabbit (USA)"
whofrarograbre "Who Framed Roger Rabbit - Reframed (Hack)"
whompem "Whomp 'Em (USA)"
widget "Widget (USA)"
wildgunman "Wild Gunman (World, Rev A)"
willow "Willow (USA)"
willowj "Willow (Japan)"
willownfh "Willow (No Flash ed.) (Hack, v1.1)"
wingmad "Wing of Madoola, The (World)"
wingmadj "Wing of Madoola, The (Japan)"
winlosordra "Win, Lose or Draw (USA)"
wintergames "Winter Games (USA)"
witchnwiz "Witch n' Wiz (HB)"
witchnwiznd "Witch n' Wiz (HB, NESDev Ed.)"
wits "Wit's (Japan)"
wizarwar "Wizards & Warriors (USA)"
wizarwariii "Wizards & Warriors III - Kuros: Visions of Power (USA)"
wizarwariiic "Wizards & Warriors III - Kuros: Visions of Power (Hack, Spanish v1.1)"
wolfling "Wolfling (HB, v1.4)"
wolfspirit "Wolf Spirit (HB, Demo)"
wolverine "Wolverine (USA)"
wolverinec "Wolverine (Hack, Spanish)"
wonderlanddizzy "Wonderland Dizzy (HB)"
woodypoko "Woody Poko (Hack, English)"
woodypokoj "Woody Poko (Japan)"
wordle "Wordle (HB, v1.1)"
worldchamp "World Champ (USA)"
worldwar "World of Warcraft - Demon Hunter (Hack, English)"
worldwarc "World of Warcraft - Demon Hunter (China) (Unl)"
wowheels "War on Wheels (USA, Prototype)"
wrathblaman "Wrath of the Black Manta (USA, Rev A)"
wreckingcrew "Wrecking Crew (World)"
wreckingcrewhd "Wrecking Crew HD (Hack)"
wurm "Wurm - Journey to the Center of the Earth! (USA)"
wxniao "Wo Xiang Niao Niao (HB)"
xenocreeps "XenoCreeps (HB, Byte-Off Demo)"
xenophobe "Xenophobe (USA)"
xevious "Xevious - The Avenger (USA)"
xexyz "Xexyz (USA)"
xiaohonmao "Xiao Hong Mao - Little Red Hood (China) (Unl)"
xiaohonmaohp "Xiao Hong Mao - Little Red Hood OVERHAUL Project (Hack)"
xybots "Xybots (USA, Prototype)"
yarsrev "Yars Revenge (Unl)"
yarsrevoh "Yars Revenge - OVERHAUL (Hack)"
yiearkungfu "Yie Ar Kung-Fu (Japan, Rev 1.4)"
yiearkungfuc "Yie Ar Kung-Fu (Hack, Spanish)"
yonoid "Yo! Noid (USA)"
yoshi "Yoshi (USA)"
yoshiscookie "Yoshi's Cookie (USA)"
youkaiclub "Youkai Club (Hack, English v1.01)"
youkaiclubj "Youkai Club (Japan)"
youkaidouchuuki "Youkai Douchuuki (Japan)"
youkaikurabu "Youkai Kurabu (Japan)"
youngindjonchr "Young Indiana Jones Chronicles, The (USA)"
ys "Ys (Hack, English)"
ysc "Ys (Hack, Spanish v1.1)"
ysde "Ys - Definitive Edition (Hack, English)"
ysii "Ys II - Ancient Ys Vanished - The Final Chapter (Hack, English)"
ysiic "Ys II - Ancient Ys Vanished - The Final Chapter (Hack, Spanish)"
ysiide "Ys II - Definitive Edition (Hack, English)"
ysiii "Ys III - Wanderers from Ys (Hack, English)"
ysiiide "Ys III - Definitive Edition - Final Fix (Hack, English)"
ysiiij "Ys III - Wanderers from Ys (Japan)"
ysiij "Ys II - Ancient Ys Vanished - The Final Chapter (Japan)"
ysj "Ys (Japan)"
yumepenmon "Yume Penguin Monogatari (Hack, English)"
yumepenmonj "Yume Penguin Monogatari (Japan)"
yunr5 "Yun R5 (HB)"
yuuyuuhakfin "Yuu Yuu Hakusho Final - Makai Saikyou Retsuden (Japan)"
yybeebissii "Yeah Yeah Beebiss II (HB)"
zanac "Zanac (USA)"
zayuki "Za! Yukigassen (HB, v1.02)"
zdey "Zdey the Game (HB)"
zednzee "Zed and Zee (HB)"
zeldaii "Zelda II - The Adventure of Link (USA)"
zeldaiiac "Zelda II: Amida's Curse (GlobalHack, v1.9)"
zeldaiic "Zelda II - The Adventure of Link (Rev 2) (Hack, Spanish)"
zeldaiird "Zelda II Redux - The Adventure of Link (Hack, v3.0)"
zeldakong "Zelda Kong (Hack)"
zeldanodenc "Zelda no Densetsu - The Hyrule Fantasy (Hack, Chinese)"
zen "Zen - Intergalactic Ninja (USA)"
zenc "Zen - Intergalactic Ninja (Hack, Chinese)"
zhenbenxiyouji "Zhen Ben Xi You Ji (Asia) (Unl)"
zippyrace "Zippy Race (Japan)"
zoids "Zoids - Battle of Central Continent (Hack, English)"
zoidsj "Zoids - Chuuou Tairiku no Tatakai (Japan)"
zombhuntbob "Zombiehunter Bob (HB)"
zombiecalavera "Zombie Calavera (HB)"
zombiehunter "Zombie Hunter (Japan)"
zombienation "Zombie Nation (USA)"
zoomisec "Zooming Secretary (HB)"
zunousengal "Zunou Senkan Galg (Japan)"
