1942sgm "1942 (SGM) (HB)"
sewersam "Sewer Sam"
sftscj "Search For The Stolen Crown Jewels (HB)"
sftscj2 "Search For The Stolen Crown Jewels 2 (HB)"
sftscj3 "Search For The Stolen Crown Jewels 3 (HB)"
sgmtest "ColecoVision SuperGame Module (SGM) Test"
shmup "Shmup! (SGM) (HB)"
shouganai "Shouganai (SGM) (HB)"
sidetrak "Side Trak (HB)"
sindmyst "Sindbad Mystery (HB)"
sirababol "Sir Ababol (HB, v1.1)"
skiing "Skiing"
skyjag "Sky Jaguar (HB)"
slither "Slither"
slurpy "Slurpy"
smurf "Smurf Rescue in Gargamel's Castle"
smurfa "Smurf Rescue in Gargamel's Castle (Alt)"
smurfchal "Smurf Challenge (HB)"
smurfply "Smurf Play and Learn (Prototype)"
smurfpnt "Smurf Paint 'n' Play Workshop"
smurfsav "Smurfs Save the Day (Prototype)"
snake "Snake (HB)"
soknight "So You Want To Be A Knight (HB)"
spacehunter "Space Hunter (HB)"
spaceinvasion "Space Invasion (HB)"
spaceinvcol "Space Invaders Collection (HB)"
spaceshuttle "Space Shuttle (SGM + EEPROM) (HB)"
spacfury "Space Fury"
sparkie "Sparkie (SGM) (HB)"
spectar "Spectar (HB)"
spectron "Spectron"
spelunker "Spelunker (SGM) (HB)"
spinball "SpinBall (HB)"
sprcross "Super Cross Force"
sprcrossa "Super Cross Force (Alt)"
spunkysc "Spunky's Super Car! (HB)"
spyhunt "Spy Hunter"
spyhuntp "Spy Hunter (Prototype, v22)"
spyhuntp1 "Spy Hunter (Prototype, v13)"
squares "Squares! (HB)"
squishem "Squish 'em Sam!"
ssketch "Super Sketch"
starcastle "Star Castle (HB)"
starcom "Starcom (HB)"
starfire "Star Fire (HB)"
starforce "Star Force (HB)"
starfortress "Star Fortress (HB)"
starjacker "Star Jacker (HB)"
starshipdf "Starship Defence Force (HB)"
starsoldier "Star Soldier (SGM) (HB)"
startrek "Star Trek: Strategic Operations Simulator"
starwars "Star Wars: The Arcade Game"
steam "Steamroller (Prototype)"
stonew "Stone of Wisdom, The (SGM) (HB)"
straycat "Stray Cat (SGM) (HB)"
strikeit "Strike It!"
strippoker "Strip Poker (HB)"
subroc "Subroc"
subrocsgm "Subroc (SGM) (HB)"
sudoku "Sudoku (HB)"
superdk "Super DK! (Prototype)"
superpac "Super Pac-Man (SGM) (HB)"
suprdkjr "Super DK! Junior (Prototype)"
suprspac "Super Space Acer (HB)"
suprtank "Super Tank (HB)"
suprtest "Super Controller Test Cartridge"
sword "Sword and Sorcerer (Prototype)"
swtacorn "Sweet Acorn (SGM) (HB)"
sydneyhunt "Sydney Hunter and the Sacred Tribe (HB)"
sydneyhunt2 "Sydney Hunter and the Caverns of Death (HB)"
tankbtln "Tank Battalion (SGM) (HB)"
tankchal "Tank Challenge (HB)"
tankmission "Tank Mission (HB)"
tankwars "Tank Wars"
tapper "Tapper"
tarzan "Tarzan: From out of the Jungle"
telebunny "Telebunny (HB)"
telly "Telly Turtle"
terrattak "Terra Attack (HB)"
thexder "Thexder (SGM) (HB)"
threshld "Threshold"
timepilot "Time Pilot (SGM) (HB)"
timeplt "Time Pilot"
tomarc "Tomarc the Barbarian"
trackfld "Track & Field (HB)"
